FRR	FAR
0.046	0.257
0.046	0.257
0.046	0.257
0.046	0.257
0.046	0.257
0.046	0.257
0.046	0.257
0.046	0.257
0.046	0.257
0.046	0.257
0.046	0.257
0.046	0.257
0.046	0.257
0.046	0.257
0.046	0.257
0.046	0.257
0.046	0.257
0.046	0.257
0.046	0.257
0.046	0.257
0.046	0.257
0.046	0.257
0.046	0.257
0.046	0.257
0.046	0.257
0.046	0.257
0.046	0.257
0.046	0.257
0.046	0.257
0.046	0.257
0.046	0.257
0.046	0.257
0.046	0.257
0.046	0.257
0.046	0.257
0.046	0.257
0.046	0.257
0.046	0.257
0.043	0.257
0.043	0.257
0.043	0.257
0.043	0.257
0.043	0.263
0.043	0.269
0.043	0.269
0.043	0.269
0.043	0.269
0.043	0.269
0.043	0.274
0.043	0.274
0.000	1.000
0.000	1.000
0.000	1.000
0.000	1.000
0.000	1.000
0.000	1.000
0.000	1.000
0.000	1.000
0.000	1.000
0.000	1.000
0.000	1.000
0.000	1.000
0.000	1.000
0.000	1.000
0.000	1.000
0.000	1.000
0.000	1.000
0.000	1.000
0.000	1.000
0.000	1.000
0.000	1.000
0.000	1.000
0.000	1.000
0.000	1.000
0.000	1.000
0.000	1.000
0.000	1.000
0.000	1.000
0.000	1.000
0.000	1.000
0.000	1.000
0.000	1.000
0.000	1.000
0.000	1.000
0.000	1.000
0.000	1.000
0.000	1.000
0.000	1.000
0.000	1.000
0.000	1.000
0.000	1.000
0.000	1.000
0.000	1.000
0.000	1.000
0.000	1.000
0.000	1.000
0.000	1.000
0.000	1.000
0.000	1.000
0.000	1.000
0.000	1.000
0.000	1.000
0.000	1.000
0.000	1.000
0.000	1.000
0.000	1.000
0.000	1.000
0.000	1.000
0.000	1.000
0.000	1.000
0.000	1.000
0.000	1.000
0.000	1.000
0.000	1.000
0.000	1.000
0.000	1.000
0.000	1.000
0.000	1.000
0.000	1.000
0.000	1.000
0.000	1.000
0.000	1.000
0.000	1.000
0.000	1.000
0.000	1.000
0.000	1.000
0.000	1.000
0.000	1.000
0.000	1.000
0.000	1.000
0.000	1.000
0.000	1.000
0.000	1.000
0.000	1.000
0.000	1.000
0.000	1.000
0.000	1.000
0.000	1.000
0.000	1.000
0.000	1.000
0.000	1.000
0.000	1.000
0.000	1.000
0.000	1.000
0.000	1.000
0.000	1.000
0.000	1.000
0.000	1.000
0.000	1.000
0.000	1.000
